data,nr_super_noroc
2018-12-06,641613
2018-12-09,978692
2018-12-13,523159
2018-12-16,612633
2018-12-20,156439
2018-12-23,643148
2018-12-31,719970
2019-01-06,189674
2019-01-10,658557
2019-01-13,254592
2019-01-17,556223
2019-01-20,269867
2019-01-24,479325
2019-01-27,716920
2019-01-31,666500
2019-02-03,166635
2019-02-07,357837
2019-02-10,953014
2019-02-14,908816
2019-02-17,103469
2019-02-21,490599
2019-02-24,346619
2019-02-28,653112
2019-03-03,892267
2019-03-07,400105
2019-03-10,078196
2019-03-14,330603
2019-03-17,063403
2019-03-21,371575
2019-03-24,690320
2019-03-28,230382
2019-03-31,043816
2019-04-04,875282
2019-04-07,350337
2019-04-11,802536
2019-04-14,471160
2019-04-18,321132
2019-04-21,723472
2019-04-27,690218
2019-05-02,076224
2019-05-05,180978
2019-05-09,384677
2019-05-12,525170
2019-05-16,463678
2019-05-19,920081
2019-05-23,080986
2019-05-26,978109
2019-05-30,468545
2019-06-02,052728
2019-06-06,166354
2019-06-09,295915
2019-06-13,432039
2019-06-16,908223
2019-06-20,971314
2019-06-23,836157
2019-06-27,528784
2019-06-30,969138
2019-07-04,912242
2019-07-07,005913
2019-07-11,596645
2019-07-14,894442
2019-07-18,946602
2019-07-21,151597
2019-07-25,406210
2019-07-28,218955
2019-08-01,920535
2019-08-04,655658
2019-08-08,422409
2019-08-11,472341
2019-08-15,185321
2019-08-18,990228
2019-08-22,445873
2019-08-25,594386
2019-08-29,305313
2019-09-01,268908
2019-09-05,490775
2019-09-08,596077
2019-09-12,325027
2019-09-15,270577
2019-09-19,152909
2019-09-22,814959
2019-09-26,593691
2019-09-29,941943
2019-10-03,158398
2019-10-06,311386
2019-10-10,014310
2019-10-13,537203
2019-10-17,852891
2019-10-20,025475
2019-10-24,153168
2019-10-27,983856
2019-10-31,634749
2019-11-03,939743
2019-11-05,385898
2019-11-07,599822
2019-11-10,327097
2019-11-12,011792
2019-11-14,537633
2019-11-17,529551
2019-11-19,899074
2019-11-21,986262
2019-11-24,997447
2019-11-28,952773
2019-12-01,253930
2019-12-08,637417
2019-12-15,667357
2019-12-22,563712
2020-01-05,738193
2020-01-09,760138
2020-01-12,205081
2020-01-16,639911
2020-01-19,845019
2020-01-23,974779
2020-01-26,139089
2020-01-30,367044
2020-02-02,422859
2020-02-06,839805
2020-02-09,645556
2020-02-13,001436
2020-02-16,775602
2020-02-20,468357
2020-02-23,160460
2020-02-27,414838
2020-03-01,064188
2020-03-05,791149
2020-03-08,720557
2020-03-12,793800
2020-03-15,226069
2020-03-19,932279
2020-06-21,319067
2020-06-25,967924
2020-06-28,816199
2020-07-02,434472
2020-07-05,681709
2020-07-09,249936
2020-07-12,452380
2020-07-16,269759
2020-07-19,950737
2020-07-23,676889
2020-07-26,452984
2020-07-30,823749
2020-08-02,792084
2020-08-06,998697
2020-08-09,012828
2020-08-13,792316
2020-08-16,133720
2020-08-20,042290
2020-08-23,950590
2020-08-27,794502
2020-08-30,309298
2020-09-03,954461
2020-09-06,853164
2020-09-10,887153
2020-09-13,637526
2020-09-17,213199
2020-09-20,193592
2020-09-24,545299
2020-09-27,502190
2020-10-01,313225
2020-10-04,375071
2020-10-08,156292
2020-10-11,663865
2020-10-15,301969
2020-10-18,254739
2020-10-22,573047
2020-10-25,194489
2020-10-29,954071
2020-11-01,597971
